Name,Points,Year,Position,Number,School,REC,YDS,TDS
Levi Evans,11.4,SO,TE/DE,#20,Mormon Trail,3,24,1
Drew Eilers,13.9,JR,WR/DL,#2,Gladbrook-Reinbeck,3,49,1
Treyvon Herron,28.3,FR,WR/DB,#9,Gladbrook-Reinbeck,3,133,2
John Stauffer,15.3,JR,TE/LB,#82,Clarksville,3,63,1
Colin Snyder,5.6,SO,RB/LB,#24,Dunkerton,3,26,0
Alex Daniel,14.7,SO,RB/LB,#27,Glidden-Ralston,3,57,1
Braydon Draeger,5.8,SR,TE/LB,#88,Melcher-Dallas,3,28,0
Carter Michalek,9.8,JR,WR/DB,#2,Montezuma,3,8,1
Kolton Robinson,3.4,SO,RB/DB,#23,Northwood-Kensett,3,4,0
Guyson Lyman,7.5,JR,TE/DE,#40,Newell-Fonda,3,45,0
Collin Homan,13.4,JR,OL/DL,#55,Remsen St. Mary's,3,44,1
Ethan Schaufenbuel,6.4,SO,WR/CB,#20,Tripoli,3,34,0
Tristan Freiberg,5.0,SR,WR/CB,#1,Tripoli,3,20,0
Cal Peterman,20.9,JR,WR/LB,#15,Bedford,3,59,2
Ian Smith,11.6,JR,TE/LB,#5,Iowa Valley,3,26,1
Micah Moores,12.9,FR,RB/LB,#9,Woodbine,3,39,1
Cal Pryor,11.7,FR,QB/DB,#12,Woodbine,3,27,1
Brody Paulsen,8.7,SR,RB/DB,#2,CAM,3,57,0
Klay Baker,27.0,JR,RB/LB,#17,St. Edmond,3,120,2
Grant Galles,20.0,SO,WR/DB,#6,St. Edmond,3,110,1
Christopher Lange,8.1,SO,WR,#10,Edgewood-Colesburg,3,51,0
Bennett Steger,19.6,SR,WR,#14,Edgewood-Colesburg,3,106,1
Owen Murphy,7.8,JR,WR/S,#10,Bishop Garrigan,3,48,0
Kelan Stevenson,10.3,SO,TE/LB,#62,Lamoni,3,13,1
London Franklin,17.8,SO,RB/DE,#6,New London,3,88,1
Edward Miller,7.5,SR,TE/DE,#31,Audubon,3,45,0
Jordan Boehde,4.7,FR,RB/DB,#13,Easton Valley,3,17,0
Braedon Godfread,17.4,JR,TE/S,#10,Sidney,3,24,2
Terrian Islas,2.9,JR,TE/DE,#5,East Union,2,9,0
Cael Weisskopf,3.2,FR,RB/LB,#5,HLV,2,12,0
Ty Alcott,3.1,JR,RB/DB,#24,Belle Plaine,2,11,0
Riley Simmons,11.5,SR,E/DE,#85,Belle Plaine,2,35,1
Logan Grimm,3.3,SR,RB/LB,#34,West Bend-Mallard,2,13,0
Aidan Yoch,4.2,SR,TE/DB,#14,West Bend-Mallard,2,22,0
Bryce Brabham,10.8,SO,RB/DB,#9,Exira-EHK,2,28,1
Cody Samson,2.3,SR,TE/LB,#36,Baxter,2,3,0
Donald Bashor,20.6,SR,RB/LB,#44,Lenox,2,66,2
Conner Bowers,4.1,JR,TE/CB,#21,Griswold,2,21,0
Zane Johnson,10.3,JR,RB/LB,#7,Griswold,2,23,1
Mason Steinhoff,10.7,SO,RB/LB,#11,Griswold,2,27,1
Brayden Svejda,5.2,JR,QB/CB,#1,Calamus-Wheatland,2,32,0
Tyler Rodgers,4.6,JR,WR/CB,#17,Mormon Trail,2,26,0
Layne Mastin,2.8,SR,OG/DE,#11,East Mills,2,8,0
Sheldon Vandenberg,9.5,JR,OG/LB,#12,East Mills,2,15,1
Luke Cripps,3.0,SR,QB/S,#1,Boyer Valley,2,10,0
J.D. Kruse,5.0,SO,RB/DE,#2,Turkey Valley,2,30,0
Caleb Kurtenbach,11.3,SR,QB,#5,Turkey Valley,2,33,1
Logan Sharpe,2.6,JR,RB/LB,#28,Central Elkader,2,6,0
Nolan Cushion,6.1,SR,TE/DE,#22,West Central,2,41,0
Adam Scott,12.5,SR,RB/LB,#26,West Central,2,45,1
Mark Lensch,4.1,SR,TE/LB,#33,Glidden-Ralston,2,21,0
Carson Frerichs,3.9,SR,RB/LB,#28,North Iowa,2,19,0
Jeffery Gerber,4.2,SR,RB/LB,#20,North Iowa,2,22,0
Trent Robertson,5.7,SR,WR/LB,#5,North Iowa,2,37,0
Talan Jacobsen,3.6,FR,QB/LB,#10,North Iowa,2,16,0
Alex Black,16.5,SR,WR/DB,#30,Montezuma,2,25,2
Marshawn Taylor,7.2,SR,RB/CB,#12,Rockford,2,52,0
Aden Bice,6.3,JR,WR/LB,#7,Northwood-Kensett,2,43,0
Ben Yezek,2.8,SR,WR/DB,#21,Northwood-Kensett,2,8,0
Blake Helmick,9.3,JR,OG/DE,#87,Moravia,2,13,1
Jacksyn Hogrefe,3.5,SO,RB/DB,#26,Newell-Fonda,2,15,0
Trenton Struss,5.3,SR,RB/S,#21,Newell-Fonda,2,33,0
Lucas Dirkx,4.2,SO,TE/DE,#40,Southeast Warren,2,22,0
Trey Fisher,4.6,JR,RB/LB,#89,Southeast Warren,2,26,0
Braden Simington,5.5,SR,S/WR,#2,GTRA,2,35,0
Caleb Swedin,4.7,SO,RB/LB,#7,GTRA,2,27,0
Sam Schmillen,9.9,JR,WR/LB,#10,Remsen St. Mary's,2,19,1
Breckin Clatt,2.4,JR,RB/DB,#14,Colo-Nesco,2,4,0
Lucas Daggett,9.4,JR,TE/LB,#35,Colo-Nesco,2,14,1
Logan Boldt,2.4,SO,WR/LB,#3,Tripoli,2,4,0
Brody King,16.2,JR,TE/LB,#2,Bedford,2,22,2
Garrison Motsinger,12.3,JR,RB/S,#4,Bedford,2,43,1
Brodie Ludwig,3.5,JR,RB/LB,#21,Woodbine,2,15,0
Dillon Reed,3.9,SO,WR/DB,#11,Woodbine,2,19,0
Collin Bower,11.2,SO,TE/DB,#25,CAM,2,32,1
Aidan Ebert,2.6,JR,WR,#3,Riceville,2,6,0
Kinnick Henning,19.4,SO,RB/LB,#22,St. Edmond,2,54,2
Mason Hoy,3.4,SO,RB/CB,#9,Springville,2,14,0
Braden Jordan,9.2,SO,QB/LB,#10,Springville,2,12,1
Landon Lindgren,3.0,SO,RB/DB,#11,Lamoni,2,10,0
Logan Franklin,3.6,SO,WR/DB,#7,New London,2,16,0
Ezekiel Konkler,2.1,SR,WR/CB,#20,Audubon,2,1,0
Mason McIntosh,5.7,SR,QB/LB,#16,West Harrison,2,37,0
Carson Hopkins,4.7,FR,TE/LB,#15,West Harrison,2,27,0
Andreas Buttry,9.0,JR,QB/CB,#5,Sidney,2,10,1
Aiden Stenzel,11.7,SO,RB/DB,#20,Sidney,2,37,1
Devon Weisskopf,1.4,JR,RB/LB,#32,HLV,1,4,0
Wade Sankot,1.1,SO,RB/LB,#3,Belle Plaine,1,1,0
Jordan Cota,2.6,JR,TE/DE,#81,Kee,1,16,0
Andrew Kolsrud,1.8,SR,WR/CB,#16,Kee,1,8,0
Keegan Chew,1.9,FR,QB/S,#7,Murray,1,9,0
Stadan Vansice,1.5,SO,WR/LB,#5,Baxter,1,5,0
Deshon Anderson,1.3,SO,RB/LB,#32,English Valleys,1,3,0
Drake Axmear,4.2,JR,WR/CB,#4,English Valleys,1,32,0
Coen Good,2.0,SR,WR/CB,#2,English Valleys,1,10,0
Dalton Kitzman,2.0,SR,RB/LB,#4,Lenox,1,10,0
Keegan Smith,3.0,SR,RB/LB,#3,Lenox,1,20,0
Chase England,1.2,JR,TE/DL,#33,Lenox,1,2,0
Blake Micetich,1.2,SR,RB/DB,#3,Twin Cedars,1,2,0
Dallas Smith,1.5,JR,QB/DB,#2,Twin Cedars,1,5,0
Holden Jensen,2.6,JR,WR/CB,#33,Griswold,1,16,0
Brody Koch,9.3,SO,RB/LB,#5,Calamus-Wheatland,1,23,1
Luke Rohling,1.3,SR,FB/LB,#16,Calamus-Wheatland,1,3,0
Austin Boege,2.0,SO,RB/LB,#22,Collins-Maxwell,1,10,0
Wyatt Oswald,3.4,JR,QB/LB,#10,Coon Rapids-Bayard,1,24,0
Caden Oswald,1.7,FR,RB/DB,#6,Coon Rapids-Bayard,1,7,0
Degin Dixson,11.0,SR,QB/CB,#3,Mormon Trail,1,40,1
Trypp Roszell,1.5,JR,WR/DB,#18,Gladbrook-Reinbeck,1,5,0
Anthony Knaack,1.6,FR,WR/LB,#47,Gladbrook-Reinbeck,1,6,0
Jacob Berens,9.4,SR,RB/LB,#34,Boyer Valley,1,24,1
Wiatt Schulte,2.6,SO,DL/OL,#89,Boyer Valley,1,16,0
Brody Koski,1.8,FR,QB/LB,#7,Boyer Valley,1,8,0
Burke Busta,3.8,SR,FB,#9,Turkey Valley,1,28,0
Sam Hoodjer,4.6,JR,WR/CB,#80,Clarksville,1,36,0
Eli Schmidt,12.0,SR,RB/S,#3,Clarksville,1,50,1
Kale Doeppke,2.7,SR,WR/DB,#5,Central Elkader,1,17,0
Sam Fettkether,1.2,SR,OL/LB,#47,Central Elkader,1,2,0
Kyle Reinhart,2.1,JR,WR/DB,#40,Central Elkader,1,11,0
Jack Scherf,1.2,JR,WR/DB,#23,Central Elkader,1,2,0
Brody Magruder,1.8,JR,TE/DL,#26,Lone Tree,1,8,0
Ledger Dalton,7.8,SO,WR/DB,#5,Dunkerton,1,8,1
Jacob Snyder,7.4,SR,OL/DL,#52,Dunkerton,1,4,1
Biar Biar,1.5,JR,OG/DL,#65,Siouxland Christian,1,5,0
Bennett Pfister,0.0,SO,WR/DB,#29,Siouxland Christian,1,-10,0
Jackson Stansberry,3.5,SO,WR/DB,#22,Siouxland Christian,1,25,0
Waylon Hein,2.2,JR,TE/LB,#23,Glidden-Ralston,1,12,0
Emmett Snyder,1.3,SR,RB/S,#29,Glidden-Ralston,1,3,0
Colton Cox,1.5,FR,RB/DB,#33,Melcher-Dallas,1,5,0
Rocky Johnson,1.2,FR,RB/DB,#15,Melcher-Dallas,1,2,0
Brett Plants,2.6,JR,RB/LB,#22,Montezuma,1,16,0
Easton Hudnut,0.9,FR,WR/DB,#3,Montezuma,1,-1,0
Shane Helmick,1.8,SR,QB/DE,#12,Moravia,1,8,0
Isaac Messamaker,1.3,JR,FB/LB,#25,Moravia,1,3,0
Gage Samo,4.2,JR,WR/CB,#5,WACO,1,32,0
Hunter Hughes,4.2,SR,CB/WR,#3,WACO,1,32,0
Isaac Rich,2.3,JR,CB/WR,#10,WACO,1,13,0
Ty Tauber,8.4,SR,OT/LB,#25,Newell-Fonda,1,14,1
Robert Beardsley,1.1,JR,WR/DB,#18,Southeast Warren,1,1,0
Isaiah Malm,5.8,JR,S/WR,#24,GTRA,1,48,0
Landen Dietrich,3.6,FR,RB/LB,#27,GTRA,1,26,0
Cade Tentinger,1.5,JR,RB/DB,#5,Remsen St. Mary's,1,5,0
Landon Gjerde,1.0,SO,RB/LB,#1,Colo-Nesco,1,0,0
Ben Ryan,2.5,SR,TE/DE,#17,Colo-Nesco,1,15,0
Gannon Short,1.8,JR,RB/DB,#11,Colo-Nesco,1,8,0
McKoy Nuss,1.3,SO,QB/LB,#13,Tripoli,1,3,0
Kyle Boeckmann,1.6,JR,RB/LB,#8,Tripoli,1,6,0
Silas Walston,12.0,SR,RB/DE,#33,Bedford,1,50,1
Carter Hassebroek,3.9,JR,WR/DB,#8,Iowa Valley,1,29,0
Joe Freund,2.2,SO,RB/LB,#6,Woodbine,1,12,0
Brenden Wagner,2.2,SO,TE/LB,#16,Woodbine,1,12,0
Brenner Sullivan,3.9,SO,RB/LB,#22,Woodbine,1,29,0
Brayden Chester,1.9,JR,RB/LB,#34,CAM,1,9,0
Kaden Kobliska,7.3,SR,WR,#8,Riceville,1,3,1
Reagan Richardson,1.6,FR,RB,#22,Riceville,1,6,0
Jakob Koopman,10.0,SO,SL/LB,#8,St. Edmond,1,30,1
Dominic McClain,5.0,JR,WR/DB,#7,St. Edmond,1,40,0
Sam Myer,3.0,JR,LB/RB,#33,St. Edmond,1,20,0
Kahl Shanahan,1.8,JR,TE/LB,#24,Springville,1,8,0
Carter Battin,9.7,SO,WR,#2,Edgewood-Colesburg,1,27,1
Nathan Findlay,1.3,SO,RB/LB,#10,BGM,1,3,0
Beckett Rhoads,2.3,SO,WR/DB,#1,BGM,1,13,0
Tucker Wright,1.0,JR,RB/DB,#6,BGM,1,0,0
Benjy Trainer,2.3,SR,TE/LB,#4,Bishop Garrigan,1,13,0
Creyton Ogier,0.8,SR,TE/DE,#5,Lamoni,1,-2,0
Landon Wittrock,10.5,JR,SL/LB,#9,Harris-Lake Park,1,35,1
Israel Lemley,10.7,FR,WR/DB,#25,New London,1,37,1
Michael Raines,1.1,SR,TE/LB,#26,New London,1,1,0
Corbin Jacobs-Jewell,1.3,JR,TE/DE,#10,New London,1,3,0
Cole Bethune,1.7,JR,WR/S,#4,West Harrison,1,7,0
LaDarius Albright,1.9,JR,TE/LB,#9,Sidney,1,9,0
Gabe Johnson,0.7,SR,QB/LB,#3,Sidney,1,-3,0
