Name,Points,Year,Position,Number,School,REC,YDS,TDS
Ty Alcott,0.75,JR,RB/DB,#24,Belle Plaine,0.5,2.5,0.0
Wade Sankot,0.55,SO,RB/LB,#3,Belle Plaine,0.5,0.5,0.0
Aidan Yoch,2.1,SR,TE/DB,#14,West Bend-Mallard,1.0,11.0,0.0
Eric Wilson,4.0,SR,WR/DB,#15,Exira-EHK,1.0,30.0,0.0
Bryce Brabham,1.1,SO,RB/DB,#9,Exira-EHK,1.0,1.0,0.0
Jackson Schulte,11.1,SR,RB/LB,#21,Kee,1.0,41.0,1.0
Keegan Chew,0.95,FR,QB/S,#7,Murray,0.5,4.5,0.0
Ayden Lamb,0.55,FR,TE/LB,#18,Murray,0.5,0.5,0.0
Stadan Vansice,1.5,SO,WR/LB,#5,Baxter,1.0,5.0,0.0
Drake Axmear,2.1,JR,WR/CB,#4,English Valleys,0.5,16.0,0.0
Chase England,1.2,JR,TE/DL,#33,Lenox,1.0,2.0,0.0
Blake Micetich,0.6,SR,RB/DB,#3,Twin Cedars,0.5,1.0,0.0
Dallas Smith,0.75,JR,QB/DB,#2,Twin Cedars,0.5,2.5,0.0
Conner Bowers,1.6,JR,TE/CB,#21,Griswold,1.0,6.0,0.0
Logan French,3.9,SR,WR/DB,#1,Stanton,1.0,29.0,0.0
Jacob Martin,1.6,JR,RB/LB,#3,Stanton,1.0,6.0,0.0
Johnny Resh,1.7,SR,TE/DL,#20,Stanton,1.0,7.0,0.0
Brody Koch,9.3,SO,RB/LB,#5,Calamus-Wheatland,1.0,23.0,1.0
Degin Dixson,11.0,SR,QB/CB,#3,Mormon Trail,1.0,40.0,1.0
Levi Evans,8.7,SO,TE/DE,#20,Mormon Trail,1.0,17.0,1.0
Drew Eilers,0.8,JR,WR/DL,#2,Gladbrook-Reinbeck,1.0,-2.0,0.0
Wiatt Schulte,1.3,SO,DL/OL,#89,Boyer Valley,0.5,8.0,0.0
Burke Busta,3.8,SR,FB,#9,Turkey Valley,1.0,28.0,0.0
J.D. Kruse,2.1,SO,RB/DE,#2,Turkey Valley,1.0,11.0,0.0
Sam Hoodjer,2.3,JR,WR/CB,#80,Clarksville,0.5,18.0,0.0
Eli Schmidt,6.0,SR,RB/S,#3,Clarksville,0.5,25.0,0.5
Kale Doeppke,2.7,SR,WR/DB,#5,Central Elkader,1.0,17.0,0.0
Sam Fettkether,1.2,SR,OL/LB,#47,Central Elkader,1.0,2.0,0.0
Kyle Reinhart,2.1,JR,WR/DB,#40,Central Elkader,1.0,11.0,0.0
Jack Scherf,1.2,JR,WR/DB,#23,Central Elkader,1.0,2.0,0.0
Brody Magruder,0.9,JR,TE/DL,#26,Lone Tree,0.5,4.0,0.0
Ledger Dalton,7.8,SO,WR/DB,#5,Dunkerton,1.0,8.0,1.0
Jacob Snyder,7.4,SR,OL/DL,#52,Dunkerton,1.0,4.0,1.0
Biar Biar,1.5,JR,OG/DL,#65,Siouxland Christian,1.0,5.0,0.0
Bennett Pfister,0.0,SO,WR/DB,#7,Siouxland Christian,1.0,-10.0,0.0
Bram Bielenberg,1.7,FR,RB/LB,#35,Siouxland Christian,1.0,7.0,0.0
Nolan Cushion,2.2,SR,TE/DE,#22,West Central,1.0,12.0,0.0
Mark Lensch,1.9,SR,TE/LB,#33,Glidden-Ralston,1.0,9.0,0.0
Emmett Snyder,1.3,SR,RB/S,#29,Glidden-Ralston,1.0,3.0,0.0
Alex Black,4.3,SR,WR/DB,#30,Montezuma,0.5,8.0,0.5
Brett Plants,1.3,JR,RB/LB,#22,Montezuma,0.5,8.0,0.0
Easton Hudnut,0.45,FR,WR/DB,#3,Montezuma,0.5,-0.5,0.0
Marshawn Taylor,5.5,SR,RB/CB,#12,Rockford,1.0,45.0,0.0
Blake Helmick,0.85,JR,OG/DE,#87,Moravia,0.5,3.5,0.0
Isaac Messamaker,0.65,JR,FB/LB,#25,Moravia,0.5,1.5,0.0
Gage Samo,4.2,JR,WR/CB,#5,WACO,1.0,32.0,0.0
Hunter Hughes,4.2,SR,CB/WR,#3,WACO,1.0,32.0,0.0
Robert Beardsley,1.1,JR,WR/DB,#18,Southeast Warren,1.0,1.0,0.0
Lucas Dirkx,1.7,SO,TE/DE,#40,Southeast Warren,1.0,7.0,0.0
Trey Fisher,2.6,JR,RB/LB,#89,Southeast Warren,1.0,16.0,0.0
Isaiah Malm,5.8,JR,S/WR,#24,GTRA,1.0,48.0,0.0
Caleb Swedin,3.0,SO,RB/LB,#7,GTRA,1.0,20.0,0.0
Landen Dietrich,3.6,FR,RB/LB,#27,GTRA,1.0,26.0,0.0
Braxton Kniep,1.9,JR,WR/DE,#18,Remsen St. Mary's,1.0,9.0,0.0
Sam Schmillen,7.8,JR,WR/LB,#10,Remsen St. Mary's,1.0,8.0,1.0
Lucas Daggett,0.15,JR,TE/LB,#35,Colo-Nesco,0.5,-3.5,0.0
Landon Gjerde,0.5,SO,RB/LB,#1,Colo-Nesco,0.5,0.0,0.0
Ben Ryan,1.25,SR,TE/DE,#17,Colo-Nesco,0.5,7.5,0.0
Kyle Boeckmann,1.6,JR,RB/LB,#8,Tripoli,1.0,6.0,0.0
Cal Peterman,7.8,JR,WR/LB,#15,Bedford,1.0,8.0,1.0
Silas Walston,12.0,SR,RB/DE,#33,Bedford,1.0,50.0,1.0
Carter Hassebroek,1.95,JR,WR/DB,#8,Iowa Valley,0.5,14.5,0.0
Joe Freund,2.2,SO,RB/LB,#6,Woodbine,1.0,12.0,0.0
Brenden Wagner,2.2,SO,TE/LB,#16,Woodbine,1.0,12.0,0.0
Micah Moores,1.9,FR,RB/LB,#9,Woodbine,1.0,9.0,0.0
Aidan Ebert,1.2,JR,WR,#3,Riceville,1.0,2.0,0.0
Will Felper,1.3,SR,SL,#18,Riceville,1.0,3.0,0.0
Reagan Richardson,1.6,FR,RB,#22,Riceville,1.0,6.0,0.0
Leo Ehn,2.3,SR,TE/LB,#80,St. Edmond,1.0,13.0,0.0
Grant Galles,4.3,SO,WR/DB,#6,St. Edmond,1.0,33.0,0.0
Dominic McClain,5.0,JR,WR/DB,#7,St. Edmond,1.0,40.0,0.0
Sam Myer,3.0,JR,LB/RB,#33,St. Edmond,1.0,20.0,0.0
Trevor Forey,10.0,SR,WR/S,#6,Janesville,1.0,30.0,1.0
Kahl Shanahan,0.9,JR,TE/LB,#24,Springville,0.5,4.0,0.0
Mason Hoy,0.8,SO,RB/CB,#9,Springville,0.5,3.0,0.0
Braden Jordan,0.55,SO,QB/LB,#10,Springville,0.5,0.5,0.0
Carter Battin,9.7,SO,WR,#2,Edgewood-Colesburg,1.0,27.0,1.0
Christopher Lange,1.3,SO,WR,#10,Edgewood-Colesburg,1.0,3.0,0.0
Bennett Steger,4.2,SR,WR,#14,Edgewood-Colesburg,1.0,32.0,0.0
Beckett Rhoads,1.15,SO,WR/DB,#1,BGM,0.5,6.5,0.0
Tucker Wright,0.5,JR,RB/DB,#6,BGM,0.5,0.0,0.0
Landon Lindgren,2.2,SO,RB/DB,#11,Lamoni,1.0,12.0,0.0
Corbin Jacobs-Jewell,1.3,JR,TE/DE,#10,New London,1.0,3.0,0.0
Ezekiel Konkler,1.2,SR,WR/CB,#20,Audubon,1.0,2.0,0.0
Edward Miller,3.3,SR,TE/DE,#31,Audubon,1.0,23.0,0.0
Jamison Martin,4.1,JR,RB/DB,#11,West Harrison,1.0,31.0,0.0
Cole Bethune,1.7,JR,WR/S,#4,West Harrison,1.0,7.0,0.0
LaDarius Albright,1.9,JR,TE/LB,#9,Sidney,1.0,9.0,0.0
Andreas Buttry,1.5,JR,QB/CB,#5,Sidney,1.0,5.0,0.0
Braedon Godfread,7.2,JR,TE/S,#10,Sidney,1.0,2.0,1.0
Gabe Johnson,0.7,SR,QB/LB,#3,Sidney,1.0,-3.0,0.0
